credit_rating,account_balance,credit_duration_months,previous_credit_payment_status,credit_purpose,credit_amount,savings,employment_duration,installment_rate(perc_disp_income),marital_status,guarantor,residence_duration,current_assets,age,other_credits,apartment_type,bank_credits,occupation,dependents,telephone_yes,foreign_worker_yes,telephone_no,foreign_worker_no
1,na,48,other_credits_existing,radio/television,3578,na,>7_year,4,male:single,none,1,real_estate,47,none,own,1,skilled-employee,1,1,1,0,0
1,na,36,delay_paying_in_past,car(new),10875,little,>7_year,2,male:single,none,2,car_other,45,none,own,2,skilled-employee,2,1,1,0,0
1,little,12,delay_paying_in_past,car(new),1344,little,1<_<4_year,4,male:single,none,2,real_estate,43,none,own,2,unskilled-resident,2,0,1,1,0
1,na,6,other_credits_existing,radio/television,1237,moderate,1<_<4_year,1,female:divorced/married,none,1,life_insurance,27,none,own,2,skilled-employee,1,0,1,1,0
1,na,12,existing_credits_paid_till_now,radio/television,3077,little,1<_<4_year,2,male:single,none,4,car_other,52,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,radio/television,2284,little,4<_<7_year,4,male:single,none,2,car_other,28,none,own,1,skilled-employee,1,1,1,0,0
1,moderate,12,existing_credits_paid_till_now,radio/television,1567,little,1<_<4_year,1,female:divorced/married,none,1,car_other,22,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,delay_paying_in_past,car(new),2032,little,>7_year,4,male:single,none,4,unknown,60,none,for_free,2,skilled-employee,1,1,1,0,0
1,moderate,21,other_credits_existing,furniture/equipment,2745,rich,4<_<7_year,3,male:single,none,2,car_other,32,none,own,2,skilled-employee,1,1,1,0,0
1,na,30,existing_credits_paid_till_now,radio/television,1867,na,>7_year,4,male:single,none,4,car_other,58,none,own,1,skilled-employee,1,1,1,0,0
1,na,36,existing_credits_paid_till_now,radio/television,2299,quite_rich,>7_year,4,male:single,none,4,car_other,39,none,own,1,skilled-employee,1,0,1,1,0
1,na,24,existing_credits_paid_till_now,furniture/equipment,929,na,4<_<7_year,4,male:single,none,2,car_other,31,stores,own,1,skilled-employee,1,1,1,0,0
1,rich,12,existing_credits_paid_till_now,radio/television,3399,na,>7_year,2,male:single,none,3,car_other,37,none,own,1,highly-qualified,1,0,1,1,0
1,moderate,9,existing_credits_paid_till_now,furniture/equipment,2030,na,4<_<7_year,2,male:single,none,1,car_other,24,none,own,1,skilled-employee,1,1,1,0,0
1,na,21,other_credits_existing,car(used),3275,little,>7_year,1,male:single,none,4,car_other,36,none,own,1,highly-qualified,1,1,1,0,0
1,na,24,other_credits_existing,car(new),1940,rich,>7_year,4,male:single,none,4,real_estate,60,none,own,1,skilled-employee,1,1,1,0,0
1,little,21,other_credits_existing,car(new),1602,little,>7_year,4,male:married,none,3,car_other,30,none,own,2,skilled-employee,1,1,1,0,0
1,na,15,existing_credits_paid_till_now,radio/television,1979,na,>7_year,4,male:single,none,2,car_other,35,none,own,1,skilled-employee,1,0,1,1,0
1,na,24,other_credits_existing,car(new),2022,little,1<_<4_year,4,female:divorced/married,none,4,car_other,37,none,own,1,skilled-employee,1,1,1,0,0
1,na,36,other_credits_existing,radio/television,3342,na,>7_year,4,male:single,none,2,car_other,51,none,own,1,skilled-employee,1,1,1,0,0
1,moderate,18,existing_credits_paid_till_now,car(new),5866,moderate,1<_<4_year,2,male:single,none,2,car_other,30,none,own,2,skilled-employee,1,1,1,0,0
1,rich,15,other_credits_existing,car(used),2360,quite_rich,1<_<4_year,2,male:single,none,2,car_other,36,none,own,1,skilled-employee,1,1,1,0,0
1,na,15,other_credits_existing,furniture/equipment,1520,na,>7_year,4,male:single,none,4,life_insurance,63,none,own,1,skilled-employee,1,0,1,1,0
1,little,12,existing_credits_paid_till_now,car(new),3651,rich,1<_<4_year,1,male:single,none,3,life_insurance,31,none,own,1,skilled-employee,2,0,1,1,0
1,na,24,other_credits_existing,car(used),2346,little,4<_<7_year,4,male:single,none,3,car_other,35,none,own,2,skilled-employee,1,1,1,0,0
1,na,36,delay_paying_in_past,radio/television,4454,little,1<_<4_year,4,female:divorced/married,none,4,real_estate,34,none,own,2,skilled-employee,1,0,1,1,0
1,little,6,other_credits_existing,car(new),666,rich,4<_<7_year,3,female:divorced/married,none,4,real_estate,39,none,own,2,unskilled-resident,1,1,1,0,0
1,moderate,24,delay_paying_in_past,car(new),1965,na,1<_<4_year,4,female:divorced/married,none,4,car_other,42,none,rent,2,skilled-employee,1,1,1,0,0
1,moderate,12,other_credits_existing,car(new),1995,moderate,<1_year,4,male:single,none,1,car_other,27,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,30,existing_credits_paid_till_now,radio/television,2991,na,>7_year,2,female:divorced/married,none,4,car_other,25,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,30,no_credits_taken,business,4221,little,1<_<4_year,2,female:divorced/married,none,1,car_other,28,none,own,2,skilled-employee,1,0,1,1,0
1,little,9,existing_credits_paid_till_now,radio/television,1364,little,4<_<7_year,3,male:single,none,4,real_estate,59,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,18,other_credits_existing,furniture/equipment,6361,little,>7_year,2,male:single,none,1,unknown,41,none,own,1,skilled-employee,1,1,1,0,0
1,na,27,other_credits_existing,furniture/equipment,4526,rich,<1_year,4,male:single,none,2,real_estate,32,stores,own,2,unskilled-resident,2,1,1,0,0
1,moderate,12,other_credits_existing,radio/television,3573,little,1<_<4_year,1,female:divorced/married,none,1,real_estate,23,none,own,1,unskilled-resident,1,0,1,1,0
0,moderate,36,delay_paying_in_past,business,4455,little,1<_<4_year,2,male:divorced,none,2,real_estate,30,stores,own,2,highly-qualified,1,1,1,0,0
1,little,9,existing_credits_paid_till_now,furniture/equipment,2136,little,1<_<4_year,3,male:single,none,2,real_estate,25,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,42,other_credits_existing,business,5954,little,4<_<7_year,2,female:divorced/married,none,1,real_estate,41,bank,own,2,unskilled-resident,1,0,1,1,0
1,na,24,other_credits_existing,furniture/equipment,3777,rich,1<_<4_year,4,male:single,none,4,real_estate,40,none,own,1,skilled-employee,1,1,1,0,0
1,little,15,existing_credits_paid_till_now,business,806,little,1<_<4_year,4,female:divorced/married,none,4,life_insurance,22,none,own,1,unskilled-resident,1,0,1,1,0
1,moderate,24,delay_paying_in_past,business,4712,na,1<_<4_year,4,male:single,none,2,life_insurance,34,bank,own,2,highly-qualified,1,1,1,0,0
1,moderate,36,delay_paying_in_past,car(new),7432,little,1<_<4_year,2,female:divorced/married,none,2,life_insurance,54,none,rent,1,skilled-employee,1,0,1,1,0
1,na,24,other_credits_existing,radio/television,1851,little,4<_<7_year,4,male:married,guarantor,2,car_other,33,none,own,2,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,car(new),1393,little,1<_<4_year,2,male:single,guarantor,2,real_estate,31,none,own,1,skilled-employee,1,1,1,0,0
1,na,12,other_credits_existing,business,1412,little,1<_<4_year,4,female:divorced/married,guarantor,2,real_estate,29,none,own,2,highly-qualified,1,1,1,0,0
1,na,18,existing_credits_paid_till_now,radio/television,1473,little,<1_year,3,male:married,none,4,real_estate,39,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,radio/television,1533,little,<1_year,4,female:divorced/married,none,3,car_other,38,stores,own,1,skilled-employee,1,1,1,0,0
1,na,12,other_credits_existing,education,2012,na,4<_<7_year,4,female:divorced/married,none,2,car_other,61,none,own,1,skilled-employee,1,0,1,1,0
0,little,15,existing_credits_paid_till_now,car(new),3959,little,1<_<4_year,3,female:divorced/married,none,2,life_insurance,29,none,own,1,skilled-employee,1,1,1,0,0
1,little,6,existing_credits_paid_till_now,furniture/equipment,428,little,>7_year,2,female:divorced/married,none,1,life_insurance,49,bank,own,1,skilled-employee,1,1,1,0,0
1,moderate,12,other_credits_existing,car(new),2366,quite_rich,4<_<7_year,3,male:divorced,none,3,car_other,36,none,own,1,highly-qualified,1,1,1,0,0
1,na,12,existing_credits_paid_till_now,furniture/equipment,763,little,1<_<4_year,4,female:divorced/married,none,1,real_estate,26,none,own,1,skilled-employee,1,1,1,0,0
1,moderate,21,existing_credits_paid_till_now,furniture/equipment,3976,na,4<_<7_year,2,male:single,none,3,car_other,35,none,own,1,skilled-employee,1,1,1,0,0
1,moderate,18,existing_credits_paid_till_now,car(new),6260,little,4<_<7_year,3,male:single,none,3,real_estate,28,none,rent,1,unskilled-resident,1,0,1,1,0
1,moderate,9,other_credits_existing,furniture/equipment,1919,little,4<_<7_year,4,male:single,none,3,car_other,35,none,rent,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,car(used),2603,rich,1<_<4_year,2,female:divorced/married,none,4,car_other,28,none,rent,1,skilled-employee,1,1,1,0,0
1,na,9,other_credits_existing,education,936,quite_rich,>7_year,4,male:single,none,2,car_other,52,none,own,2,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,furniture/equipment,3062,quite_rich,>7_year,4,male:single,none,3,unknown,32,none,rent,1,skilled-employee,1,1,1,0,0
1,moderate,36,existing_credits_paid_till_now,radio/television,4795,little,<1_year,4,female:divorced/married,none,1,unknown,30,none,own,1,highly-qualified,1,1,1,0,0
1,na,36,other_credits_existing,car(used),5842,little,>7_year,2,male:single,none,2,life_insurance,35,none,own,2,skilled-employee,2,1,1,0,0
1,moderate,6,existing_credits_paid_till_now,radio/television,2063,little,<1_year,4,male:married,none,3,car_other,30,none,rent,1,highly-qualified,1,1,1,0,0
1,na,15,other_credits_existing,radio/television,1459,little,1<_<4_year,4,female:divorced/married,none,2,car_other,43,none,own,1,unskilled-resident,1,0,1,1,0
1,na,15,existing_credits_paid_till_now,radio/television,1213,quite_rich,>7_year,4,male:single,none,3,life_insurance,47,stores,own,1,skilled-employee,1,1,1,0,0
1,na,24,other_credits_existing,radio/television,5103,little,<1_year,3,male:married,none,3,unknown,47,none,for_free,3,skilled-employee,1,1,1,0,0
1,na,15,existing_credits_paid_till_now,domestic_appliances,874,na,<1_year,4,female:divorced/married,none,1,real_estate,24,none,own,1,skilled-employee,1,0,1,1,0
1,na,6,existing_credits_paid_till_now,furniture/equipment,2978,quite_rich,1<_<4_year,1,male:single,none,2,car_other,32,none,own,1,skilled-employee,1,1,1,0,0
1,na,18,existing_credits_paid_till_now,car(new),1820,little,1<_<4_year,2,male:married,none,2,life_insurance,30,none,own,1,highly-qualified,1,1,1,0,0
1,na,24,other_credits_existing,radio/television,2872,moderate,>7_year,3,male:single,none,4,real_estate,36,none,own,1,skilled-employee,2,1,1,0,0
1,rich,24,existing_credits_paid_till_now,furniture/equipment,1925,little,1<_<4_year,2,male:single,none,2,real_estate,26,none,own,1,skilled-employee,1,0,1,1,0
1,na,18,existing_credits_paid_till_now,furniture/equipment,2515,little,1<_<4_year,3,male:single,none,4,real_estate,43,none,own,1,skilled-employee,1,1,1,0,0
1,rich,6,existing_credits_paid_till_now,furniture/equipment,2116,little,1<_<4_year,2,male:single,none,2,real_estate,41,none,own,1,skilled-employee,1,1,1,0,0
1,na,18,existing_credits_paid_till_now,radio/television,1453,little,<1_year,3,female:divorced/married,none,1,real_estate,26,none,own,1,skilled-employee,1,0,1,1,0
1,na,10,existing_credits_paid_till_now,car(new),1364,little,1<_<4_year,2,female:divorced/married,none,4,car_other,64,none,own,1,skilled-employee,1,1,1,0,0
1,na,6,existing_credits_paid_till_now,furniture/equipment,1543,rich,1<_<4_year,4,male:divorced,none,2,real_estate,33,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,12,existing_credits_paid_till_now,car(new),1318,rich,>7_year,4,male:single,none,4,real_estate,54,none,own,1,skilled-employee,1,1,1,0,0
1,little,24,all_credits_paid_duly,car(new),2325,moderate,4<_<7_year,2,male:single,none,3,car_other,32,bank,own,1,skilled-employee,1,0,1,1,0
1,moderate,6,other_credits_existing,retraining,932,na,4<_<7_year,1,female:divorced/married,none,3,life_insurance,39,none,own,2,unskilled-resident,1,0,1,1,0
1,rich,24,other_credits_existing,radio/television,3148,na,1<_<4_year,3,male:single,none,2,car_other,31,none,own,2,skilled-employee,1,1,1,0,0
1,na,36,existing_credits_paid_till_now,radio/television,3835,na,>7_year,2,female:divorced/married,none,4,real_estate,45,none,own,1,unskilled-resident,1,1,1,0,0
1,na,9,existing_credits_paid_till_now,education,3832,na,>7_year,1,male:single,none,4,real_estate,64,none,own,1,unskilled-resident,1,0,1,1,0
1,moderate,24,existing_credits_paid_till_now,radio/television,5084,na,>7_year,2,female:divorced/married,none,4,car_other,42,none,own,1,skilled-employee,1,1,1,0,0
1,na,9,other_credits_existing,furniture/equipment,2406,little,unemployed,2,male:single,none,3,car_other,31,none,own,1,highly-qualified,1,0,1,1,0
1,na,36,existing_credits_paid_till_now,radio/television,2394,na,1<_<4_year,4,female:divorced/married,none,4,car_other,25,none,own,1,skilled-employee,1,0,1,1,0
1,na,21,existing_credits_paid_till_now,car(used),2476,na,>7_year,4,male:single,none,4,real_estate,46,none,own,1,highly-qualified,1,1,1,0,0
1,little,24,existing_credits_paid_till_now,car(used),2964,na,>7_year,4,male:single,none,4,unknown,49,bank,for_free,1,skilled-employee,2,1,1,0,0
1,little,12,existing_credits_paid_till_now,furniture/equipment,1262,na,>7_year,2,male:divorced,none,4,life_insurance,49,none,own,1,unskilled-resident,1,1,1,0,0
1,na,12,existing_credits_paid_till_now,business,1542,little,4<_<7_year,2,male:single,none,4,car_other,36,none,own,1,skilled-employee,1,1,1,0,0
1,moderate,24,other_credits_existing,radio/television,1743,little,>7_year,4,male:single,none,2,life_insurance,48,none,own,2,unskilled-resident,1,0,1,1,0
1,rich,12,all_credits_paid_duly,radio/television,409,rich,1<_<4_year,3,female:divorced/married,none,3,real_estate,42,none,rent,2,skilled-employee,1,0,1,1,0
1,na,12,existing_credits_paid_till_now,radio/television,2171,little,<1_year,2,female:divorced/married,none,2,car_other,29,bank,own,1,skilled-employee,1,0,1,1,0
1,na,48,other_credits_existing,car(used),8858,na,4<_<7_year,2,male:single,none,1,unknown,35,none,for_free,2,skilled-employee,1,1,1,0,0
1,moderate,24,existing_credits_paid_till_now,car(new),3512,moderate,4<_<7_year,2,male:single,none,3,car_other,38,bank,own,2,skilled-employee,1,1,1,0,0
1,moderate,12,existing_credits_paid_till_now,radio/television,1158,quite_rich,1<_<4_year,3,male:divorced,none,1,car_other,26,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,other_credits_existing,radio/television,2684,little,1<_<4_year,4,male:single,none,2,real_estate,35,none,own,2,unskilled-resident,1,0,1,1,0
1,little,12,existing_credits_paid_till_now,radio/television,1498,little,1<_<4_year,4,female:divorced/married,none,1,car_other,23,bank,own,1,skilled-employee,1,0,1,1,0
1,na,30,other_credits_existing,radio/television,5954,little,4<_<7_year,3,male:single,co-applicant,2,car_other,38,none,own,1,skilled-employee,1,0,1,1,0
0,moderate,48,all_credits_paid_duly,business,6416,little,>7_year,4,female:divorced/married,none,3,unknown,59,none,rent,1,skilled-employee,1,0,1,1,0
1,moderate,12,other_credits_existing,furniture/equipment,3617,little,>7_year,1,male:single,none,4,car_other,28,none,rent,3,skilled-employee,1,1,1,0,0
1,na,12,other_credits_existing,radio/television,1291,little,1<_<4_year,4,female:divorced/married,none,2,life_insurance,35,none,own,2,skilled-employee,1,0,1,1,0
1,rich,24,other_credits_existing,business,1275,rich,1<_<4_year,2,male:divorced,none,4,real_estate,36,none,own,2,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,furniture/equipment,3972,little,4<_<7_year,2,female:divorced/married,none,4,life_insurance,25,none,rent,1,skilled-employee,1,1,1,0,0
1,na,15,other_credits_existing,furniture/equipment,3343,little,1<_<4_year,4,male:single,none,2,unknown,28,none,for_free,1,skilled-employee,1,1,1,0,0
1,rich,15,existing_credits_paid_till_now,education,392,little,<1_year,4,female:divorced/married,none,4,life_insurance,23,none,rent,1,skilled-employee,1,1,1,0,0
1,na,9,other_credits_existing,car(new),2134,little,1<_<4_year,4,male:single,none,4,car_other,48,none,own,3,skilled-employee,1,1,1,0,0
1,na,30,other_credits_existing,radio/television,5771,little,4<_<7_year,4,female:divorced/married,none,2,car_other,25,none,own,2,skilled-employee,1,0,1,1,0
1,na,24,other_credits_existing,business,4526,little,1<_<4_year,3,male:single,none,2,real_estate,74,none,own,1,highly-qualified,1,1,1,0,0
1,na,15,other_credits_existing,furniture/equipment,2788,little,4<_<7_year,2,female:divorced/married,co-applicant,3,car_other,24,bank,own,2,skilled-employee,1,0,1,1,0
1,na,6,other_credits_existing,radio/television,1382,little,1<_<4_year,1,female:divorced/married,none,1,car_other,28,none,own,2,skilled-employee,1,1,1,0,0
1,rich,36,existing_credits_paid_till_now,radio/television,5848,little,1<_<4_year,4,male:single,none,1,car_other,24,none,own,1,skilled-employee,1,0,1,1,0
0,little,12,existing_credits_paid_till_now,car(new),1228,little,1<_<4_year,4,female:divorced/married,none,2,real_estate,24,none,own,1,unskilled-resident,1,0,1,1,0
1,rich,12,existing_credits_paid_till_now,radio/television,1297,little,1<_<4_year,3,male:married,none,4,real_estate,23,none,rent,1,skilled-employee,1,0,1,1,0
1,na,24,existing_credits_paid_till_now,radio/television,1552,little,4<_<7_year,3,male:single,none,1,car_other,32,bank,own,1,skilled-employee,2,0,1,1,0
1,na,12,existing_credits_paid_till_now,radio/television,1963,little,4<_<7_year,4,male:single,none,2,car_other,31,none,rent,2,highly-qualified,2,1,1,0,0
1,na,24,existing_credits_paid_till_now,radio/television,3235,quite_rich,>7_year,3,male:divorced,none,2,car_other,36,none,own,1,highly-qualified,1,1,1,0,0
1,na,24,other_credits_existing,business,4139,moderate,1<_<4_year,3,male:single,none,3,life_insurance,27,none,own,2,unskilled-resident,1,1,1,0,0
1,moderate,12,other_credits_existing,car(used),1804,moderate,<1_year,3,male:single,none,4,life_insurance,44,none,own,1,skilled-employee,1,0,1,1,0
1,na,18,existing_credits_paid_till_now,business,1950,little,4<_<7_year,4,male:single,none,1,car_other,34,stores,own,2,skilled-employee,1,1,1,0,0
1,na,48,delay_paying_in_past,radio/television,12749,quite_rich,4<_<7_year,4,male:single,none,1,car_other,37,none,own,1,highly-qualified,1,1,1,0,0
1,na,9,existing_credits_paid_till_now,domestic_appliances,1236,little,<1_year,1,female:divorced/married,none,4,real_estate,23,none,rent,1,skilled-employee,1,1,1,0,0
